county,constituency,code,registered_voters,raila,ruto,mwaure,wajackoyah,iebc_total,auto_sum,rejected_ballots,counted
Turkana,Turkana North,123,42994,15318,10675,43,41,26077,26077,NA,1
Turkana,Turkana South,127,40432,20472,3088,51,79,23690,23690,NA,1
Turkana,Turkana West,124,42673,17107,9288,44,86,26525,26525,NA,1
Uasin Gishu,Ainabkoi,144,62611,8620,35401,50,86,44157,44157,261,1
Uasin Gishu,Kapseret,145,74933,14900,35218,60,92,50270,50270,305,1
Uasin Gishu,Kesses,146,77992,8966,45653,61,88,54768,54768,334,1
Uasin Gishu,Moiben,143,77877,6772,49625,54,51,56502,56502,336,1
Uasin Gishu,Soy,141,92702,10824,55903,49,107,66883,66883,342,1
Uasin Gishu,Turbo,142,120202,25950,51062,116,166,77294,77294,459,1
Vihiga,Emuhaya,215,50185,21531,9440,104,295,31370,31370,294,1
Vihiga,Hamisi,213,80834,31133,14589,86,282,46090,46090,524,1
Vihiga,Luanda,214,NA,NA,NA,NA,NA,NA,0,NA,0
Vihiga,Sabatia,212,NA,NA,NA,NA,NA,NA,0,NA,0
Vihiga,Vihiga,211,52309,17140,12432,84,232,29888,29888,400,1
Wajir,Eldas,37,NA,NA,NA,NA,NA,NA,0,NA,0
Wajir,Tarbaj,35,25267,8912,9735,51,96,18794,18794,97,1
Wajir,Wajir East,34,35803,13712,8152,36,120,22020,22020,139,1
Wajir,Wajir North,33,NA,NA,NA,NA,NA,NA,0,NA,0
Wajir,Wajir South,38,NA,NA,NA,NA,NA,NA,0,NA,0
Wajir,Wajir West,36,31334,14845,6305,16,58,21224,21224,81,1
West Pokot,Kacheliba,131,NA,NA,NA,NA,NA,NA,0,NA,0
West Pokot,Kapenguria,129,NA,NA,NA,NA,NA,NA,0,NA,0
West Pokot,Pokot South,132,58536,17489,28825,66,132,46581,46512,469,1
West Pokot,Sigor,130,43934,13774,21261,55,102,35192,35192,354,1
